#filter: wgEncodeGencodeBasicV27lift37.name2 like 'GRIN%'
#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
1691	ENST00000313269.5_1	chr8	+	145064225	145067583	145065391	145067009	7	145064225,145065367,145065859,145066045,145066412,145066632,145066859,	145064479,145065770,145065972,145066246,145066541,145066776,145067583,	0	GRINA	cmpl	cmpl	-1,0,1,0,0,0,0,
1691	ENST00000395068.8_1	chr8	+	145064267	145067583	145065391	145067009	7	145064267,145065367,145065859,145066045,145066412,145066632,145066859,	145064367,145065770,145065972,145066246,145066541,145066776,145067583,	0	GRINA	cmpl	cmpl	-1,0,1,0,0,0,0,
1653	ENST00000371561.7_3	chr9	+	140032841	140063214	140033938	140061979	20	140032841,140036464,140040177,140043460,140051120,140051314,140052830,140053072,140055507,140055740,140056375,140056623,140056855,140057042,140057297,140057620,140058010,140058210,140059637,140061862,	140034196,140036599,140040354,140043561,140051242,140051489,140052975,140053156,140055649,140055868,140056540,140056742,140056968,140057191,140057455,140057782,140058120,140058356,140059748,140063214,	0	GRIN1	cmpl	cmpl	0,0,0,0,2,1,2,0,0,1,0,0,2,1,0,2,2,1,0,0,
1653	ENST00000371546.8_1	chr9	+	140033932	140063207	140033938	140061979	21	140033932,140036464,140040177,140042603,140043460,140051120,140051314,140052830,140053072,140055507,140055740,140056375,140056623,140056855,140057042,140057297,140057620,140058010,140058210,140059637,140061862,	140034196,140036599,140040354,140042666,140043561,140051242,140051489,140052975,140053156,140055649,140055868,140056540,140056742,140056968,140057191,140057455,140057782,140058120,140058356,140059748,140063207,	0	GRIN1	cmpl	cmpl	0,0,0,0,0,2,1,2,0,0,1,0,0,2,1,0,2,2,1,0,0,
1653	ENST00000371550.8_1	chr9	+	140033932	140063207	140033938	140061979	19	140033932,140036464,140040177,140043460,140051120,140051314,140052830,140053072,140055507,140055740,140056375,140056623,140056855,140057042,140057297,140057620,140058010,140058210,140061862,	140034196,140036599,140040354,140043561,140051242,140051489,140052975,140053156,140055649,140055868,140056540,140056742,140056968,140057191,140057455,140057782,140058120,140058356,140063207,	0	GRIN1	cmpl	cmpl	0,0,0,0,2,1,2,0,0,1,0,0,2,1,0,2,2,1,0,
1653	ENST00000371553.7_3	chr9	+	140033932	140063207	140033938	140062294	21	140033932,140036464,140040177,140042603,140043460,140051120,140051314,140052830,140053072,140055507,140055740,140056375,140056623,140056855,140057042,140057297,140057620,140058010,140058210,140059637,140062225,	140034196,140036599,140040354,140042666,140043561,140051242,140051489,140052975,140053156,140055649,140055868,140056540,140056742,140056968,140057191,140057455,140057782,140058120,140058356,140059748,140063207,	0	GRIN1	cmpl	cmpl	0,0,0,0,0,2,1,2,0,0,1,0,0,2,1,0,2,2,1,0,0,
1653	ENST00000371555.8_1	chr9	+	140033932	140063207	140033938	140061979	20	140033932,140036464,140040177,140042603,140043460,140051120,140051314,140052830,140053072,140055507,140055740,140056375,140056623,140056855,140057042,140057297,140057620,140058010,140058210,140061862,	140034196,140036599,140040354,140042666,140043561,140051242,140051489,140052975,140053156,140055649,140055868,140056540,140056742,140056968,140057191,140057455,140057782,140058120,140058356,140063207,	0	GRIN1	cmpl	cmpl	0,0,0,0,0,2,1,2,0,0,1,0,0,2,1,0,2,2,1,0,
1653	ENST00000371559.8_3	chr9	+	140033932	140063207	140033938	140062294	19	140033932,140036464,140040177,140043460,140051120,140051314,140052830,140053072,140055507,140055740,140056375,140056623,140056855,140057042,140057297,140057620,140058010,140058210,140062225,	140034196,140036599,140040354,140043561,140051242,140051489,140052975,140053156,140055649,140055868,140056540,140056742,140056968,140057191,140057455,140057782,140058120,140058356,140063207,	0	GRIN1	cmpl	cmpl	0,0,0,0,2,1,2,0,0,1,0,0,2,1,0,2,2,1,0,
1653	ENST00000371560.4_1	chr9	+	140033932	140063207	140033938	140062294	20	140033932,140036464,140040177,140042603,140043460,140051120,140051314,140052830,140053072,140055507,140055740,140056375,140056623,140056855,140057042,140057297,140057620,140058010,140058210,140062225,	140034196,140036599,140040354,140042666,140043561,140051242,140051489,140052975,140053156,140055649,140055868,140056540,140056742,140056968,140057191,140057455,140057782,140058120,140058356,140063207,	0	GRIN1	cmpl	cmpl	0,0,0,0,0,2,1,2,0,0,1,0,0,2,1,0,2,2,1,0,
172	ENST00000361820.3_1	chr9	-	104331634	104500862	104335455	104500261	9	104331634,104340049,104341477,104375657,104385599,104390537,104432341,104448877,104499562,	104335795,104340126,104341642,104375809,104385715,104390683,104433389,104449482,104500862,	0	GRIN3A	cmpl	cmpl	2,0,0,1,2,0,2,0,0,
86	ENST00000609686.3_1	chr12	-	13690270	14133297	13715716	14019142	13	13690270,13719958,13722763,13724737,13761536,13764658,13768047,13768426,13769388,13828678,13906250,14018731,14132861,	13717573,13720197,13722951,13724898,13761766,13764784,13768201,13768598,13769591,13828793,13906849,14019160,14133297,	0	GRIN2B	cmpl	cmpl	0,1,2,0,1,1,0,2,0,2,0,0,-1,
82	ENST00000396573.6_1	chr16	-	9847260	10276611	9857005	10274268	14	9847260,9862707,9892133,9916120,9923279,9927961,9934503,9934792,9943612,9984842,10031815,10273854,10275733,10276510,	9858805,9862946,9892321,9916281,9923509,9928087,9934657,9934961,9943818,9984957,10032408,10274286,10275924,10276611,	0	GRIN2A	cmpl	cmpl	0,1,2,0,1,1,0,2,0,2,0,0,-1,-1,
82	ENST00000535259.5_1	chr16	-	9856532	10032415	9857211	10032411	12	9856532,9857628,9862707,9892133,9916120,9923279,9927961,9934503,9934792,9943612,9984842,10031815,	9857285,9858805,9862946,9892321,9916281,9923509,9928087,9934657,9934961,9943818,9984957,10032415,	0	GRIN2A	cmpl	incmpl	1,0,1,2,0,1,1,0,2,0,2,0,
